Data; Wartość; Rodzaj;
2023-10-04 06:45;0,0230;pobrana [kWh];
2023-10-04 07:00;0,0230;pobrana [kWh];
2023-10-04 07:15;0,0230;pobrana [kWh];
2023-10-04 07:30;0,0020;pobrana [kWh];
2023-10-04 07:45;0,0000;pobrana [kWh];
2023-10-04 08:00;0,1170;pobrana [kWh];
2023-10-04 08:15;0,0000;pobrana [kWh];
2023-10-04 08:30;0,0330;pobrana [kWh];
2023-10-04 08:45;0,0000;pobrana [kWh];
2023-10-04 09:00;0,0000;pobrana [kWh];
2023-10-04 09:15;0,0000;pobrana [kWh];
2023-10-04 09:30;0,0000;pobrana [kWh];
2023-10-04 09:45;0,0000;pobrana [kWh];
2023-10-04 10:00;0,0000;pobrana [kWh];
2023-10-04 10:15;0,0490;pobrana [kWh];
2023-10-04 10:30;0,0140;pobrana [kWh];
2023-10-04 10:45;0,0440;pobrana [kWh];
2023-10-04 11:00;0,0000;pobrana [kWh];
2023-10-04 11:15;0,0000;pobrana [kWh];
2023-10-04 11:30;0,0000;pobrana [kWh];
2023-10-04 11:45;0,0000;pobrana [kWh];
2023-10-04 12:00;0,0000;pobrana [kWh];
2023-10-04 12:15;0,0090;pobrana [kWh];
2023-10-04 12:30;0,0010;pobrana [kWh];
2023-10-04 12:45;0,0310;pobrana [kWh];
2023-10-04 13:00;0,0000;pobrana [kWh];
2023-10-04 13:15;0,0000;pobrana [kWh];
2023-10-04 13:30;0,0000;pobrana [kWh];
2023-10-04 13:45;0,0000;pobrana [kWh];
2023-10-04 14:00;0,0000;pobrana [kWh];
2023-10-04 14:15;0,0000;pobrana [kWh];
2023-10-04 14:30;0,0000;pobrana [kWh];
2023-10-04 14:45;0,0000;pobrana [kWh];
2023-10-04 15:00;0,0000;pobrana [kWh];
2023-10-04 15:15;0,0000;pobrana [kWh];
2023-10-04 15:30;0,0000;pobrana [kWh];
2023-10-04 15:45;0,0000;pobrana [kWh];
2023-10-04 16:00;0,0000;pobrana [kWh];
2023-10-04 16:15;0,0000;pobrana [kWh];
2023-10-04 16:30;0,0000;pobrana [kWh];
2023-10-04 16:45;0,0000;pobrana [kWh];
2023-10-04 17:00;0,0000;pobrana [kWh];
2023-10-04 17:15;0,0000;pobrana [kWh];
2023-10-04 17:30;0,0000;pobrana [kWh];
2023-10-04 17:45;0,0000;pobrana [kWh];
2023-10-04 18:00;0,0010;pobrana [kWh];
2023-10-04 18:15;0,0140;pobrana [kWh];
2023-10-04 18:30;0,0270;pobrana [kWh];
2023-10-04 18:45;0,0220;pobrana [kWh];
2023-10-04 19:00;0,0220;pobrana [kWh];
2023-10-04 19:15;0,0210;pobrana [kWh];
2023-10-04 19:30;0,0200;pobrana [kWh];
2023-10-04 19:45;0,0210;pobrana [kWh];
2023-10-04 20:00;0,0210;pobrana [kWh];
2023-10-04 20:15;0,0320;pobrana [kWh];
2023-10-04 20:30;0,0270;pobrana [kWh];
2023-10-04 20:45;0,0200;pobrana [kWh];
2023-10-04 21:00;0,0210;pobrana [kWh];
